Longitud,Latitud,Fecha_Acc,AA_Acc,Hora_Acc,Localidad,Gravedad_Indicador_Tradicional,Con_Embriaguez
-74.07842171972,4.64724025967,2024-01-03,2024,20,TEUSAQUILLO,Con Heridos,NO
-74.12006435578,4.60479890328,2024-01-02,2024,14,PUENTE ARANDA,Con Heridos,NO
-74.14624942128,4.63118101704,2024-01-07,2024,2,KENNEDY,Con Muertos,SI
-74.16192582353,4.60454815604,2024-01-05,2024,2,BOSA,Con Muertos,NO
-74.06250683253,4.66500739222,2024-01-04,2024,14,BARRIOS UNIDOS,Con Heridos,NO
-74.10831493919,4.56359695189,2024-01-03,2024,15,SAN CRISTÓBAL,Con Heridos,NO
-74.02238635008,4.7410111902,2024-01-07,2024,19,USAQUÉN,Con Heridos,NO
-74.18992919509,4.63083614167,2024-01-08,2024,18,BOSA,Con Heridos,NO
-74.09322885458,4.66633335943,2024-01-07,2024,19,BARRIOS UNIDOS,Con Heridos,NO
-74.20686723879,4.62380129703,2024-01-08,2024,21,BOSA,Con Heridos,NO
-74.12147787927,4.5161634935,2024-02-19,2024,6,USME,Con Heridos,NO
-74.18820674218,4.60260078168,2024-02-20,2024,20,BOSA,Con Heridos,NO
-74.15327412669,4.57262599829,2024-02-20,2024,0,CIUDAD BOLÍVAR,Con Muertos,NO
-74.08461896364,4.627865929,2024-02-20,2024,19,TEUSAQUILLO,Con Heridos,NO
-74.13897661154,4.65156044633,2024-02-16,2024,10,KENNEDY,Con Heridos,NO
-74.14253858511,4.60549135272,2024-02-21,2024,2,KENNEDY,Solo Daños,NO
-74.14389236921,4.60185872186,2024-03-08,2024,2,KENNEDY,Con Heridos,NO
-74.12779087256,4.58491040324,2024-03-08,2024,16,RAFAEL URIBE URIBE,Con Heridos,NO
-74.06777224538,4.73163995901,2024-03-06,2024,12,SUBA,Con Heridos,NO
-74.13251803962,4.56409825153,2024-03-13,2024,3,TUNJUELITO,Con Heridos,SI
-74.11820290272,4.52394347154,2024-03-09,2024,23,USME,Con Heridos,NO
-74.1615321204,4.59528298683,2024-03-12,2024,22,CIUDAD BOLÍVAR,Con Heridos,NO
-74.12317596314,4.69395353901,2024-03-11,2024,16,ENGATIVÁ,Con Heridos,NO
-74.0326671883,4.71358802839,2024-03-09,2024,19,USAQUÉN,Con Heridos,NO
-74.02741233698,4.76031603892,2024-03-10,2024,10,USAQUÉN,Con Heridos,NO
-74.06023231912,4.64691799442,2024-03-06,2024,15,CHAPINERO,Con Heridos,NO
-74.13859037344,4.67849284304,2024-05-02,2024,6,FONTIBÓN,Con Heridos,NO
-74.12377867993,4.57443847855,2024-05-05,2024,16,TUNJUELITO,Con Heridos,NO
-74.17506788047,4.57644773404,2024-05-04,2024,14,CIUDAD BOLÍVAR,Con Heridos,NO
-74.18026331991,4.59670922527,2024-05-02,2024,13,CIUDAD BOLÍVAR,Con Heridos,NO
-74.09340266153,4.61229603609,2024-05-06,2024,13,PUENTE ARANDA,Con Heridos,NO
-74.16308430617,4.58901140806,2024-05-03,2024,23,CIUDAD BOLÍVAR,Con Heridos,SI
-74.15139523928,4.6532553638,2024-05-07,2024,13,KENNEDY,Con Heridos,NO
-74.04981461947,4.73053817233,2024-05-09,2024,9,USAQUÉN,Con Muertos,NO
-74.08075121825,4.61183298187,2024-05-04,2024,7,LOS MÁRTIRES,Con Heridos,NO
-74.03239635412,4.69938548888,2024-05-07,2024,8,USAQUÉN,Con Heridos,NO
-74.07050517981,4.65074239321,2024-05-08,2024,17,TEUSAQUILLO,Con Heridos,NO
-74.02286204579,4.73831088426,2024-05-08,2024,7,USAQUÉN,Con Heridos,NO
-74.11393550818,4.57624480387,2024-05-14,2024,7,RAFAEL URIBE URIBE,Con Heridos,NO
-74.0332814831,4.69368087351,2024-05-14,2024,6,USAQUÉN,Con Heridos,NO
-74.15697852554,4.6178430398,2024-05-11,2024,20,KENNEDY,Con Heridos,NO
-74.06341341917,4.66902805926,2024-05-24,2024,14,BARRIOS UNIDOS,Con Heridos,NO
-74.08028987829,4.59006480982,2024-05-26,2024,17,SANTA FE,Con Heridos,NO
-74.11693958227,4.62814129577,2024-06-01,2024,0,PUENTE ARANDA,Con Muertos,NO
