Fecha,Localidad,lat,lon,Nubosidad,Humedad,Precipitacion,Zona
2024-07-06,USAQUEN,4.6882,-74.0298,100.0,94.0,0.0,Norte
2024-07-07,USAQUEN,4.6882,-74.0298,98.0,63.0,0.0,Norte
2024-07-08,USAQUEN,4.6882,-74.0298,48.0,60.0,2.02,Norte
2024-07-09,USAQUEN,4.6882,-74.0298,100.0,89.0,0.49,Norte
2024-07-10,USAQUEN,4.6882,-74.0298,100.0,68.0,0.0,Norte
2024-07-11,USAQUEN,4.6882,-74.0298,53.0,56.0,0.0,Norte
2024-07-12,USAQUEN,4.6882,-74.0298,68.0,80.0,0.0,Norte
2024-07-13,USAQUEN,4.6882,-74.0298,100.0,88.0,0.0,Norte
2024-07-14,USAQUEN,4.6882,-74.0298,56.0,71.0,0.0,Norte
2024-07-15,USAQUEN,4.6882,-74.0298,53.0,59.0,0.0,Norte
2024-07-16,USAQUEN,4.6882,-74.0298,82.0,61.0,0.0,Norte
2024-07-17,USAQUEN,4.6882,-74.0298,96.0,77.0,0.0,Norte
2024-07-18,USAQUEN,4.6882,-74.0298,93.0,68.0,0.0,Norte
2024-07-19,USAQUEN,4.6882,-74.0298,52.0,73.0,0.0,Norte
2024-07-20,USAQUEN,4.6882,-74.0298,74.0,65.0,0.0,Norte
2024-07-21,USAQUEN,4.6882,-74.0298,78.0,61.0,0.32,Norte
2024-07-22,USAQUEN,4.6882,-74.0298,71.0,69.0,0.0,Norte
2024-07-23,USAQUEN,4.6882,-74.0298,97.0,91.0,0.0,Norte
2024-07-24,USAQUEN,4.6882,-74.0298,75.0,52.0,0.0,Norte
2024-07-25,USAQUEN,4.6882,-74.0298,81.0,60.0,0.0,Norte
2024-07-26,USAQUEN,4.6882,-74.0298,82.0,70.0,0.0,Norte
2024-07-27,USAQUEN,4.6882,-74.0298,40.0,55.0,0.0,Norte
2024-07-28,USAQUEN,4.6882,-74.0298,75.0,77.0,0.28,Norte
2024-07-29,USAQUEN,4.6882,-74.0298,40.0,55.0,0.0,Norte
2024-07-30,USAQUEN,4.6882,-74.0298,75.0,63.0,0.0,Norte
2024-07-31,USAQUEN,4.6882,-74.0298,89.0,70.0,0.0,Norte
2024-08-01,USAQUEN,4.6882,-74.0298,40.0,48.0,0.0,Norte
2024-08-02,USAQUEN,4.6882,-74.0298,40.0,43.0,0.0,Norte
2024-08-03,USAQUEN,4.6882,-74.0298,75.0,59.0,0.0,Norte
2024-08-04,USAQUEN,4.6882,-74.0298,87.0,53.0,0.0,Norte
2024-08-05,USAQUEN,4.6882,-74.0298,75.0,52.0,0.0,Norte
2024-08-06,USAQUEN,4.6882,-74.0298,75.0,55.0,0.0,Norte
2024-08-07,USAQUEN,4.6882,-74.0298,40.0,40.0,0.0,Norte
2024-08-08,USAQUEN,4.6882,-74.0298,75.0,63.0,5.62,Norte
2024-08-09,USAQUEN,4.6882,-74.0298,75.0,60.0,36.6,Norte
2024-08-10,USAQUEN,4.6882,-74.0298,75.0,63.0,0.0,Norte
2024-08-11,USAQUEN,4.6882,-74.0298,40.0,48.0,0.0,Norte
2024-08-12,USAQUEN,4.6882,-74.0298,40.0,46.0,0.0,Norte
2024-08-13,USAQUEN,4.6882,-74.0298,75.0,63.0,0.0,Norte
2024-08-14,USAQUEN,4.6882,-74.0298,75.0,55.0,0.0,Norte
2024-08-15,USAQUEN,4.6882,-74.0298,40.0,42.0,0.0,Norte
2024-08-16,USAQUEN,4.6882,-74.0298,40.0,48.0,0.0,Norte
2024-08-17,USAQUEN,4.6882,-74.0298,40.0,40.0,0.0,Norte
2024-08-18,USAQUEN,4.6882,-74.0298,75.0,39.0,0.0,Norte
2024-08-19,USAQUEN,4.6882,-74.0298,75.0,55.0,0.0,Norte
2024-08-20,USAQUEN,4.6882,-74.0298,75.0,52.0,0.0,Norte
2024-08-21,USAQUEN,4.6882,-74.0298,40.0,40.0,0.0,Norte
2024-08-22,USAQUEN,4.6882,-74.0298,99.0,42.0,0.21,Norte
