fecha,localidad,zona,pm25_conc,pm25_nowcast,pm25_iboca,pm10_conc,pm10_nowcast,pm10_iboca,zona
2024-05-18,USAQUÉN,Norte,11.416666666666666,11.40333333333333,43.78458333333333,14.458333333333334,14.291666666666666,26.791666666666668,Norte
2024-05-19,USAQUÉN,Norte,4.791666666666667,5.0112499999999995,20.87833333333333,9.666666666666666,8.666666666666666,16.583333333333332,Norte
2024-05-20,USAQUÉN,Norte,5.0,4.799166666666667,19.99625,10.5,10.375,19.291666666666668,Norte
2024-05-21,USAQUÉN,Norte,6.291666666666667,6.156666666666666,25.65291666666667,9.125,8.625,16.083333333333332,Norte
2024-05-22,USAQUÉN,Norte,5.25,5.4070833333333335,22.527500000000003,8.833333333333334,8.083333333333334,15.458333333333334,Norte
2024-05-23,USAQUÉN,Norte,15.625,15.224166666666667,52.60166666666667,19.875,19.083333333333332,35.458333333333336,Norte
2024-05-24,USAQUÉN,Norte,18.166666666666668,17.658333333333335,59.00125,19.625,18.125,32.75,Norte
2024-05-25,USAQUÉN,Norte,15.375,15.764166666666668,54.75375,13.041666666666666,13.666666666666666,25.833333333333332,Norte
2024-05-26,USAQUÉN,Norte,6.5,6.879166666666667,28.667083333333334,9.458333333333334,8.75,16.541666666666668,Norte
2024-05-27,USAQUÉN,Norte,5.708333333333333,5.789999999999999,24.122916666666665,9.583333333333334,9.291666666666666,17.666666666666668,Norte
2024-05-28,USAQUÉN,Norte,11.208333333333334,11.240833333333335,41.37916666666667,13.625,13.0,24.083333333333332,Norte
2024-05-29,USAQUÉN,Norte,5.375,5.117083333333333,21.334999999999997,8.208333333333334,7.958333333333333,14.833333333333334,Norte
2024-05-30,USAQUÉN,Norte,8.333333333333334,8.46875,34.790416666666665,11.75,10.958333333333334,20.666666666666668,Norte
2024-05-31,USAQUÉN,Norte,9.958333333333334,10.071250000000001,40.092083333333335,12.416666666666666,12.25,22.75,Norte
2024-06-01,USAQUÉN,Norte,5.956521739130435,5.673749999999999,23.631249999999998,7.791666666666667,7.041666666666667,13.25,Norte
2024-06-02,USAQUÉN,Norte,6.2727272727272725,5.925,24.686666666666667,8.583333333333334,8.416666666666666,15.666666666666666,Norte
2024-06-03,USAQUÉN,Norte,4.913043478260869,4.742916666666667,19.76,8.625,8.25,15.708333333333334,Norte
2024-06-04,USAQUÉN,Norte,6.541666666666667,6.275833333333334,26.14833333333333,5.0,2.6666666666666665,4.5,Norte
2024-06-05,USAQUÉN,Norte,6.208333333333333,6.3275,25.820000000000004,12.333333333333334,10.333333333333334,19.166666666666668,Norte
2024-06-06,USAQUÉN,Norte,7.782608695652174,7.195833333333333,29.543333333333333,11.916666666666666,11.375,21.208333333333332,Norte
2024-06-07,USAQUÉN,Norte,15.041666666666666,15.124583333333334,52.267500000000005,9.772727272727273,8.666666666666666,16.375,Norte
2024-06-08,USAQUÉN,Norte,5.291666666666667,5.507916666666667,22.94875,7.318181818181818,6.416666666666667,12.166666666666666,Norte
2024-06-09,USAQUÉN,Norte,7.954545454545454,7.1379166666666665,29.762916666666666,7.478260869565218,6.166666666666667,11.958333333333334,Norte
2024-06-10,USAQUÉN,Norte,7.260869565217392,7.122916666666666,29.680000000000003,5.9523809523809526,5.086956521739131,9.583333333333334,Norte
2024-06-11,USAQUÉN,Norte,5.625,5.552499999999999,23.135416666666668,7.458333333333333,6.75,13.0,Norte
