estación,localidad,zona
(71413),CHAPINERO,Centro oriental
(71413) BD-008A|K7 - CL45,CHAPINERO,Centro oriental
(71414),CHAPINERO,Centro oriental
(71414) BD-006A|K7 - CL40 N/S A,CHAPINERO,Centro oriental
(71439),CHAPINERO,Centro oriental
(71439) BD-050A_SU|CL72 - K10,CHAPINERO,Centro oriental
(71471),CHAPINERO,Centro oriental
(71471) BD-051A_SU|CL76 - K11,CHAPINERO,Centro oriental
(71507),CHAPINERO,Centro oriental
(71507) BD-038A|K7  -  CL94,CHAPINERO,Centro oriental
(71508),CHAPINERO,Centro oriental
(71508) BD-036A|K7 - CL90,CHAPINERO,Centro oriental
(71509),CHAPINERO,Centro oriental
(71509) BD-034A|K7  -  CL86,CHAPINERO,Centro oriental
(71510),CHAPINERO,Centro oriental
(71510) BD-032A|K7  -  CL81,CHAPINERO,Centro oriental
(71511),CHAPINERO,Centro oriental
(71511) BD-029B|K7 - CL74 N/S B,CHAPINERO,Centro oriental
(71512),CHAPINERO,Centro oriental
(71514),CHAPINERO,Centro oriental
(71517) BD-042A|K11 - CL100,CHAPINERO,Centro oriental
(71518),CHAPINERO,Centro oriental
(71518) BD-043A|K11 - CL95,CHAPINERO,Centro oriental
(71519),CHAPINERO,Centro oriental
(71519) BD-044A|K11 - CL93,CHAPINERO,Centro oriental
(71520),CHAPINERO,Centro oriental
(71520) BD-045A|K11 - CL86A,CHAPINERO,Centro oriental
(71521),CHAPINERO,Centro oriental
(71521) BD-046A|K11 - CL82,CHAPINERO,Centro oriental
(71522),CHAPINERO,Centro oriental
(71522) BD-020A|K11  -  CL75,CHAPINERO,Centro oriental
(71595),CHAPINERO,Centro oriental
(71595) BD-035A01|K7 - CL87,CHAPINERO,Centro oriental
(71596),CHAPINERO,Centro oriental
(71596) BD-037A00_|K7 - CL92,CHAPINERO,Centro oriental
(71597),CHAPINERO,Centro oriental
(71597) BD-039A00_|K7 - CL94,CHAPINERO,Centro oriental
(71675),CHAPINERO,Centro oriental
(71675) BD-031A01|K7 - CL78,CHAPINERO,Centro oriental
(71702),CHAPINERO,Centro oriental
(71702) BD-040A01|K7 - CL97A,CHAPINERO,Centro oriental
(71704),CHAPINERO,Centro oriental
(71704) BD-030A|K7 - CL79,CHAPINERO,Centro oriental
(71705),CHAPINERO,Centro oriental
(71705) BD-047A01|K11 - CL78,CHAPINERO,Centro oriental
(71802),CHAPINERO,Centro oriental
(71802) BD-033A00|K7-CL82,CHAPINERO,Centro oriental
(73073),CHAPINERO,Centro oriental
(73073) BD-005B|K7 - CL40 S/N B,CHAPINERO,Centro oriental
(73074),CHAPINERO,Centro oriental
(73074) BD-017A|K7 - CL70A S/N A,CHAPINERO,Centro oriental
(73076),CHAPINERO,Centro oriental
(73076) BD-006B|K7 - CL40 N/S B,CHAPINERO,Centro oriental
(73077),CHAPINERO,Centro oriental
(73077) BD-012B|K7 - CL56 N/S B,CHAPINERO,Centro oriental
(73078),CHAPINERO,Centro oriental
(73078) BD-014B|K7 - CL61 N/S B,CHAPINERO,Centro oriental
(73079),CHAPINERO,Centro oriental
(73079) BD-016B|K7- CL66 N/S B,CHAPINERO,Centro oriental
(73080),CHAPINERO,Centro oriental
(73080) BD-018A|K7 - CL71 N/S A,CHAPINERO,Centro oriental
(73081),CHAPINERO,Centro oriental
(73081) BD-029A|K7 - CL74 N/S A,CHAPINERO,Centro oriental
(73636),CHAPINERO,Centro oriental
(73636) BD-081A00|AC85 - KR16A,CHAPINERO,Centro oriental
(73637),CHAPINERO,Centro oriental
(73637) BD-281A00|AC85 - AK11,CHAPINERO,Centro oriental
(73638),CHAPINERO,Centro oriental
(73638) BD-282A00|AC85 - KR13,CHAPINERO,Centro oriental
(07002) MADELENA,CIUDAD BOLÍVAR,Sur Occidental
(07010) Bosa,CIUDAD BOLÍVAR,Sur Occidental
(08100) Portal Tunal Cable,CIUDAD BOLÍVAR,Sur Occidental
(22000) Estación Virtual,CIUDAD BOLÍVAR,Sur Occidental
(40001) Juan Pablo II,CIUDAD BOLÍVAR,Sur Occidental
(40002) Manitas,CIUDAD BOLÍVAR,Sur Occidental
(40003) Mirador del Paraiso,CIUDAD BOLÍVAR,Sur Occidental
(04000) Cabecera Calle 80,ENGATIVÁ,Occidental
(04001) Quirigua,ENGATIVÁ,Occidental
(04002) Carrera 90,ENGATIVÁ,Occidental
(04003) Avenida Ciudad de Cali,ENGATIVÁ,Occidental
(04004) La Granja,ENGATIVÁ,Occidental
(04100) Carrera 77,ENGATIVÁ,Occidental
(04101) Minuto de Dios,ENGATIVÁ,Occidental
(04102) Avenida Boyaca,ENGATIVÁ,Occidental
(04103) Las Ferias,ENGATIVÁ,Occidental
(04104) Avenida 68,ENGATIVÁ,Occidental
(06002) Normandía,ENGATIVÁ,Occidental
(06100) Av. Rojas,ENGATIVÁ,Occidental
(06100) Av. Rojas – UNISALESIANA,ENGATIVÁ,Occidental
(12404) BD-396A04|AC80 - K119,ENGATIVÁ,Occidental
(12406) 146A04|AC80 - K107,ENGATIVÁ,Occidental
(12407) PA12407|AC 80 - K106,ENGATIVÁ,Occidental
(12410) BD-144A04|AC80 - K109A,ENGATIVÁ,Occidental
(12411) 140A04|AC80 - K111C,ENGATIVÁ,Occidental
(12412) 137A04|AC80 - K114,ENGATIVÁ,Occidental
(12413) PA12413|AC 80 - K114,ENGATIVÁ,Occidental
(12414) PA12414|AC 80 - K112A,ENGATIVÁ,Occidental
(12415) PA12415|AC 80 - K110,ENGATIVÁ,Occidental
(13235) PA13235|Portal Eldorado T-3A,ENGATIVÁ,Occidental
(13416) PA13416|Av. 68 B - 2,ENGATIVÁ,Occidental
(13719) PA13719|Av. 68 B - 1,ENGATIVÁ,Occidental
(13720) PA13720|Av. 68 B - 3,ENGATIVÁ,Occidental
(1852) K003|Av. Rojas C - 3,ENGATIVÁ,Occidental
(1881) K032|El Tiempo - Maloka B - 4,ENGATIVÁ,Occidental
(1904) 303A08_EE|303A08,ENGATIVÁ,Occidental
(1964) 101A10_SU|101A10,ENGATIVÁ,Occidental
(1993) San Victorino C - 1,ENGATIVÁ,Occidental
(50004) Corral Avenida Ciudad de Cali,ENGATIVÁ,Occidental
(61852),ENGATIVÁ,Occidental
(61852) K003|Av. Rojas C - 3,ENGATIVÁ,Occidental
(61881),ENGATIVÁ,Occidental
(61881) K032|El Tiempo - Maloka B - 4 ó 6,ENGATIVÁ,Occidental
(72404),ENGATIVÁ,Occidental
(72404) BD-396A04|AC80 - K119,ENGATIVÁ,Occidental
(72406),ENGATIVÁ,Occidental
(72406) 146A04|AC80 - K107,ENGATIVÁ,Occidental
(72407),ENGATIVÁ,Occidental
(72407) PA72407|AC 80 - K106,ENGATIVÁ,Occidental
(72410),ENGATIVÁ,Occidental
(72410) BD-144A04|AC80 - K109A,ENGATIVÁ,Occidental
(72411),ENGATIVÁ,Occidental
(72411) 140A04|AC80 - K111C,ENGATIVÁ,Occidental
(72412),ENGATIVÁ,Occidental
(72412) 137A04|AC80 - K114,ENGATIVÁ,Occidental
(72413),ENGATIVÁ,Occidental
(72413) PA72413|AC 80 - K114,ENGATIVÁ,Occidental
(72414),ENGATIVÁ,Occidental
(72414) PA72414|AC 80 - K112A,ENGATIVÁ,Occidental
(72415),ENGATIVÁ,Occidental
(72415) PA72415|AC 80 - K110,ENGATIVÁ,Occidental
(73223),ENGATIVÁ,Occidental
(73235),ENGATIVÁ,Occidental
(73235) PA73235|Portal Eldorado T-3A,ENGATIVÁ,Occidental
(73766),ENGATIVÁ,Occidental
(73766) PA13720|Av. 68 B - 3,ENGATIVÁ,Occidental
(73767),ENGATIVÁ,Occidental
(73767) PA13719|Av. 68 B - 1,ENGATIVÁ,Occidental
(06000) Portal Eldorado,FONTIBÓN,Occidental
(06001) Modelia,FONTIBÓN,Occidental
(06101) El Tiempo,FONTIBÓN,Occidental
(06101) El Tiempo - Camara de Comercio de Bogota,FONTIBÓN,Occidental
(11557) BD-194A05|CL26 - KR103,FONTIBÓN,Occidental
(11558) BD-379A05|CL26 - KR106,FONTIBÓN,Occidental
(11559) 377B05|Muelle Internacional,FONTIBÓN,Occidental
(11560) BD-377C05|Muelle Nacional,FONTIBÓN,Occidental
(11561) BD-382A06|CAC,FONTIBÓN,Occidental
(11562) BD-383A06|Aeron�ica Civil,FONTIBÓN,Occidental
(13236),FONTIBÓN,Occidental
(13239) PA13239|Portal Eldorado T-6A,FONTIBÓN,Occidental
(140) 380A05|Puente A�o,FONTIBÓN,Occidental
(1907) K058|Portal Eldorado T4,FONTIBÓN,Occidental
(50008) Corral Portal Dorado,FONTIBÓN,Occidental
(50426) 377C05_TM|377C05_Aeropuerto Eldorado,FONTIBÓN,Occidental
(53021) 075A06_TM|075A06_CIAC,FONTIBÓN,Occidental
(53037) 383A05_TM|383A05_Puente A�o,FONTIBÓN,Occidental
(58729) 377F05_TM|377F05_Aeropuerto Eldorado,FONTIBÓN,Occidental
(60140),FONTIBÓN,Occidental
(60140) 380A05|Puente Aéreo,FONTIBÓN,Occidental
(61853) K004|Av. Rojas C - 1,FONTIBÓN,Occidental
(61883),FONTIBÓN,Occidental
(61883) K034|El Tiempo - Maloka A - 2 ó 5,FONTIBÓN,Occidental
(71557),FONTIBÓN,Occidental
(71557) BD-194A05|CL26 - KR103,FONTIBÓN,Occidental
(71561),FONTIBÓN,Occidental
(71561) BD-382A06|CAC,FONTIBÓN,Occidental
(71562),FONTIBÓN,Occidental
(71562) BD-383A06|Aeronáutica Civil,FONTIBÓN,Occidental
(73236) PA73236|Portal Eldorado T-4,FONTIBÓN,Occidental
(73239),FONTIBÓN,Occidental
(73239) PA73239|Portal Eldorado T-6A,FONTIBÓN,Occidental
(73768),FONTIBÓN,Occidental
(73768) BD-379A05|CL26 - KR106,FONTIBÓN,Occidental
(73769) 382A06_TM |382A06_CAC,FONTIBÓN,Occidental
(73770) 383A06_TM |383A06_Aeronáutica Civil,FONTIBÓN,Occidental
(73771),FONTIBÓN,Occidental
(73771) BD-377B05|  Muelle Internacional,FONTIBÓN,Occidental
(05000) Portal Américas,KENNEDY,Occidental
(05001) Patio Bonito,KENNEDY,Occidental
(05002) Tintal,KENNEDY,Occidental
(05005) Transversal 86,KENNEDY,Occidental
(05100) Banderas P. Central,KENNEDY,Occidental
(05101) Mandalay - Cr.73,KENNEDY,Occidental
(05102) Av. Américas - Av. Boyacá,KENNEDY,Occidental
(05103) Marsella,KENNEDY,Occidental
(07003) SEVILLANA,KENNEDY,Occidental
(07004) VENECIA,KENNEDY,Occidental
(57503) 298A00_TM|298A00_Embajada de Paz de Colombia,KENNEDY,Occidental
(57503) Ampliacion San Mateo,KENNEDY,Occidental
(61687),KENNEDY,Occidental
(61690),KENNEDY,Occidental
(07200) Tygua-San José,LOS MÁRTIRES,Centro
(07201) Guatoque -Veraguas,LOS MÁRTIRES,Centro
(09108) Hospital,LOS MÁRTIRES,Centro
(09109) Tercer Milenio,LOS MÁRTIRES,Centro
(09111) Calle 19,LOS MÁRTIRES,Centro
(09113) Calle 22,LOS MÁRTIRES,Centro
(12003) Ricaurte,LOS MÁRTIRES,Centro
(12004) Carrera 22,LOS MÁRTIRES,Centro
(14001) La Sabana,LOS MÁRTIRES,Centro
(05105) Pradera,PUENTE ARANDA,Centro
(05105) Pradera – Plaza Central,PUENTE ARANDA,Centro
(05107) Américas - Cr.53,PUENTE ARANDA,Centro
(07005) ALQUERIA,PUENTE ARANDA,Centro
(07006) General Santander,PUENTE ARANDA,Centro
(07007) NQS - Calle 38A Sur,PUENTE ARANDA,Centro
(07008) NQS - Calle 30 Sur,PUENTE ARANDA,Centro
(07009) SENA,PUENTE ARANDA,Centro
(07109) CAD,PUENTE ARANDA,Centro
(07110) PALOQUEMAO,PUENTE ARANDA,Centro
(07111) NQS - RICAURTE,PUENTE ARANDA,Centro
(07112) COMUNEROS,PUENTE ARANDA,Centro
(07113) SANTA ISABEL,PUENTE ARANDA,Centro
(12000) Puente Aranda,PUENTE ARANDA,Centro
(12001) Carrera 43 - COMAPAN,PUENTE ARANDA,Centro
(12002) CDS - Carrera 32,PUENTE ARANDA,Centro
(12007) Zona Industrial,PUENTE ARANDA,Centro
(09001) Molinos,RAFAEL URIBE URIBE,Suroriental
(09002) Consuelo,RAFAEL URIBE URIBE,Suroriental
(09003) Socorro,RAFAEL URIBE URIBE,Suroriental
(09004) Santa Lucía,RAFAEL URIBE URIBE,Suroriental
(09005) Danubio,RAFAEL URIBE URIBE,Suroriental
(09100) Calle 40 Sur,RAFAEL URIBE URIBE,Suroriental
(09101) Quiroga,RAFAEL URIBE URIBE,Suroriental
(09103) Olaya,RAFAEL URIBE URIBE,Suroriental
(10001) Country Sur,RAFAEL URIBE URIBE,Suroriental
(11721) BD-A007A12|ESCUELA ARTILLERIA S-N,RAFAEL URIBE URIBE,Suroriental
(12920) PA12920|Country Sur B - 7,RAFAEL URIBE URIBE,Suroriental
(12921) PA12921|Country Sur B - 8,RAFAEL URIBE URIBE,Suroriental
(13718) PA13718|Provisional Molinos,RAFAEL URIBE URIBE,Suroriental
(1828) H057|Consuelo B - 4,RAFAEL URIBE URIBE,Suroriental
(1833) 037A06_ET|037A06,RAFAEL URIBE URIBE,Suroriental
(1940) L015|Country Sur B - 4,RAFAEL URIBE URIBE,Suroriental
(1941) L016|Country Sur B - 1,RAFAEL URIBE URIBE,Suroriental
(1942) L017|Country Sur A - 2,RAFAEL URIBE URIBE,Suroriental
(1943) 001A00_EE|001A00,RAFAEL URIBE URIBE,Suroriental
(2294) DN225|Consuelo A - 3,RAFAEL URIBE URIBE,Suroriental
(50003) Corral Molinos,RAFAEL URIBE URIBE,Suroriental
(61826) H055|Consuelo B - 1,RAFAEL URIBE URIBE,Suroriental
(61828),RAFAEL URIBE URIBE,Suroriental
(61828) H057|Consuelo B - 4,RAFAEL URIBE URIBE,Suroriental
(61940),RAFAEL URIBE URIBE,Suroriental
(61940) L015|Country Sur B - 4 ó 6,RAFAEL URIBE URIBE,Suroriental
(61941),RAFAEL URIBE URIBE,Suroriental
(61941) L016|Country Sur B - 1 ó 5,RAFAEL URIBE URIBE,Suroriental
(61942),RAFAEL URIBE URIBE,Suroriental
(61942) L017|Country Sur A - 2 ó 5,RAFAEL URIBE URIBE,Suroriental
(71721),RAFAEL URIBE URIBE,Suroriental
(71721) BD-A007A12|ESCUELA ARTILLERIA S-N,RAFAEL URIBE URIBE,Suroriental
(71722),RAFAEL URIBE URIBE,Suroriental
(71722) BD-A040A11|ESCUELA ARTILLERIA N-S,RAFAEL URIBE URIBE,Suroriental
(72921),RAFAEL URIBE URIBE,Suroriental
(72921) PA72921|Country Sur B - 8,RAFAEL URIBE URIBE,Suroriental
(73772),RAFAEL URIBE URIBE,Suroriental
(73772) PA13718|Provisional Molinos,RAFAEL URIBE URIBE,Suroriental
(10000) Portal 20 de Julio,SAN CRISTÓBAL,Suroriental
(10002) Av. Primero de Mayo,SAN CRISTÓBAL,Suroriental
(10004) Policarpa,SAN CRISTÓBAL,Suroriental
(1961) L036|Policarpa B - 4,SAN CRISTÓBAL,Suroriental
(1962) L037|Policarpa B - 1,SAN CRISTÓBAL,Suroriental
(1963) L038|Policarpa A - 2,SAN CRISTÓBAL,Suroriental
(1971) L046|PORTAL 20 DE JULIO T8,SAN CRISTÓBAL,Suroriental
(1973) L048|PORTAL 20 DE JULIO T10,SAN CRISTÓBAL,Suroriental
(1976) L051|Av. 1� de Mayo B - 3,SAN CRISTÓBAL,Suroriental
(1977) L052|Av. 1� de Mayo B - 4,SAN CRISTÓBAL,Suroriental
(61961),SAN CRISTÓBAL,Suroriental
(61961) L036|Policarpa B - 4 ó 6,SAN CRISTÓBAL,Suroriental
(61971),SAN CRISTÓBAL,Suroriental
(61971) L046|PORTAL 20 DE JULIO T8,SAN CRISTÓBAL,Suroriental
(61973),SAN CRISTÓBAL,Suroriental
